shapeid,xp,yp,Traffic,Train,Industrial
0.0,1107,622,72,0,0
0.0,1110,620,72,0,0
0.0,1111,619,72,0,0
0.0,1114,616,72,0,0
1.0,1115,632,65,0,0
1.0,1112,629,65,0,0
1.0,1107,622,65,0,0
2.0,1103,632,65,0,0
2.0,1112,632,65,0,0
2.0,1115,632,65,0,0
3.0,1090,617,60,0,0
3.0,1098,611,60,0,0
4.0,1085,594,70,0,0
4.0,1092,589,70,0,0
5.0,1070,611,77,0,0
5.0,1071,607,77,0,0
6.0,1071,607,77,0,0
6.0,1072,603,77,0,0
7.0,1069,618,77,0,0
7.0,1070,611,77,0,0
8.0,1072,603,77,0,0
8.0,1072,600,77,0,0
9.0,1072,600,77,0,0
9.0,1073,596,77,0,0
10.0,1125,606,72,0,0
10.0,1126,605,72,0,0
10.0,1135,596,72,0,0
11.0,1119,612,72,0,0
11.0,1121,610,72,0,0
11.0,1124,607,72,0,0
11.0,1125,606,72,0,0
12.0,1114,616,72,0,0
12.0,1117,614,72,0,0
12.0,1119,612,72,0,0
13.0,1135,596,72,0,0
13.0,1142,591,72,0,0
14.0,1115,577,61,0,0
14.0,1116,577,61,0,0
14.0,1126,587,61,0,0
15.0,1126,587,61,0,0
15.0,1135,596,61,0,0
16.0,1115,584,69,0,0
16.0,1115,577,69,0,0
17.0,1115,588,69,0,0
17.0,1115,584,69,0,0
18.0,1115,595,69,0,0
18.0,1115,595,69,0,0
18.0,1115,588,69,0,0
19.0,1125,606,69,0,0
19.0,1124,605,69,0,0
19.0,1117,598,69,0,0
19.0,1115,595,69,0,0
20.0,1130,611,69,0,0
20.0,1126,607,69,0,0
20.0,1125,606,69,0,0
21.0,1115,577,69,0,0
21.0,1114,561,69,0,0
22.0,1103,577,71,0,0
22.0,1103,569,71,0,0
23.0,1103,569,71,0,0
23.0,1103,562,71,0,0
24.0,1103,562,71,0,0
24.0,1103,551,71,0,0
25.0,1103,584,71,0,0
25.0,1103,577,71,0,0
26.0,1086,578,60,0,0
26.0,1091,573,60,0,0
27.0,1091,573,60,0,0
27.0,1098,566,60,0,0
28.0,1078,586,60,0,0
28.0,1086,578,60,0,0
29.0,1098,566,60,0,0
29.0,1098,557,60,0,0
29.0,1097,556,60,0,0
30.0,1103,569,60,0,0
30.0,1098,569,60,0,0
31.0,1098,569,60,0,0
31.0,1098,566,60,0,0
32.0,1098,578,60,0,0
32.0,1098,569,60,0,0
33.0,1091,573,60,0,0
33.0,1096,578,60,0,0
34.0,1086,568,60,0,0
34.0,1091,573,60,0,0
35.0,1086,578,60,0,0
35.0,1088,583,60,0,0
36.0,1088,583,60,0,0
36.0,1096,578,60,0,0
37.0,1088,583,60,0,0
37.0,1092,589,60,0,0
38.0,1096,578,60,0,0
38.0,1098,578,60,0,0
39.0,1103,577,66,0,0
39.0,1115,577,66,0,0
40.0,1103,562,66,0,0
40.0,1113,562,66,0,0
40.0,1114,561,66,0,0
41.0,1115,584,66,0,0
41.0,1103,584,66,0,0
42.0,1103,584,66,0,0
42.0,1098,584,66,0,0
43.0,1103,551,71,0,0
43.0,1103,544,71,0,0
44.0,1122,570,64,0,0
44.0,1117,565,64,0,0
45.0,1117,565,64,0,0
45.0,1115,562,64,0,0
45.0,1114,561,64,0,0
46.0,1114,561,64,0,0
46.0,1113,559,64,0,0
47.0,1113,559,64,0,0
47.0,1109,554,64,0,0
48.0,1128,576,64,0,0
48.0,1122,570,64,0,0
49.0,1130,578,64,0,0
49.0,1128,576,64,0,0
50.0,1132,580,64,0,0
50.0,1130,578,64,0,0
51.0,1142,591,64,0,0
51.0,1132,580,64,0,0
52.0,1105,603,66,0,0
52.0,1111,603,66,0,0
53.0,1107,595,66,0,0
53.0,1112,601,66,0,0
53.0,1112,602,66,0,0
53.0,1111,603,66,0,0
54.0,1103,588,71,0,0
54.0,1103,584,71,0,0
55.0,1103,595,71,0,0
55.0,1103,588,71,0,0
56.0,1103,603,71,0,0
56.0,1103,595,71,0,0
57.0,1103,608,71,0,0
57.0,1103,603,71,0,0
58.0,1078,586,70,0,0
58.0,1076,583,70,0,0
58.0,1075,582,70,0,0
59.0,1118,621,62,0,0
59.0,1114,616,62,0,0
60.0,1114,616,62,0,0
60.0,1110,611,62,0,0
61.0,1102,617,62,0,0
61.0,1110,611,62,0,0
62.0,1122,626,62,0,0
62.0,1118,621,62,0,0
63.0,1110,611,62,0,0
63.0,1106,605,62,0,0
63.0,1105,603,62,0,0
64.0,1348,343,59,0,0
64.0,1346,342,59,0,0
64.0,1344,343,59,0,0
64.0,1343,343,59,0,0
64.0,1340,342,59,0,0
64.0,1334,340,59,0,0
64.0,1333,340,59,0,0
64.0,1331,340,59,0,0
65.0,1130,473,63,0,0
65.0,1128,473,63,0,0
65.0,1128,471,63,0,0
66.0,1114,606,66,0,0
66.0,1116,609,66,0,0
66.0,1119,612,66,0,0
67.0,1077,644,70,0,0
67.0,1077,632,70,0,0
68.0,1077,650,70,0,0
68.0,1077,644,70,0,0
69.0,1077,632,70,0,0
69.0,1077,627,70,0,0
70.0,1077,644,70,0,0
70.0,1084,645,70,0,0
71.0,1077,650,70,0,0
71.0,1084,645,70,0,0
72.0,1361,336,64,0,0
72.0,1361,329,64,0,0
73.0,1090,645,65,0,0
73.0,1103,645,65,0,0
74.0,1084,645,65,0,0
74.0,1090,645,65,0,0
75.0,1121,640,65,0,0
75.0,1120,639,65,0,0
75.0,1115,632,65,0,0
76.0,1137,617,72,0,0
76.0,1136,616,72,0,0
76.0,1130,611,72,0,0
77.0,1145,594,72,0,0
77.0,1142,591,72,0,0
78.0,1206,419,65,0,0
78.0,1215,420,65,0,0
79.0,1134,623,69,0,0
79.0,1138,623,69,0,0
79.0,1142,626,69,0,0
80.0,1155,625,59,0,0
80.0,1151,626,59,0,0
80.0,1148,627,59,0,0
80.0,1146,628,59,0,0
81.0,1238,813,52,0,0
81.0,1241,813,52,0,0
82.0,1137,631,59,0,0
82.0,1142,626,59,0,0
83.0,1142,653,56,0,0
83.0,1136,647,56,0,0
84.0,1136,647,69,0,0
84.0,1140,642,69,0,0
85.0,1295,667,72,0,59
85.0,1292,656,72,0,59
86.0,1032,356,73,0,0
86.0,1035,359,73,0,0
86.0,1038,359,73,0,0
87.0,1035,365,66,0,0
87.0,1038,359,66,0,0
88.0,1032,553,58,0,0
88.0,1031,553,58,0,0
88.0,1028,554,58,0,0
89.0,1038,556,58,0,0
89.0,1038,556,58,0,0
89.0,1032,553,58,0,0
90.0,1241,813,52,0,0
90.0,1246,813,52,0,0
91.0,569,850,60,0,0
91.0,567,850,60,0,0
91.0,566,851,60,0,0
92.0,538,544,70,0,0
92.0,542,537,70,0,0
93.0,592,645,60,0,0
93.0,591,650,60,0,0
94.0,595,639,65,0,0
94.0,594,645,65,0,0
95.0,592,645,62,0,0
95.0,594,645,62,0,0
96.0,590,645,62,0,0
96.0,592,645,62,0,0
97.0,593,639,61,0,0
97.0,592,645,61,0,0
98.0,531,612,65,0,0
98.0,542,613,65,0,0
99.0,542,613,65,0,0
99.0,545,614,65,0,0
100.0,552,611,65,0,0
100.0,558,612,65,0,0
101.0,546,610,64,0,0
101.0,552,611,64,0,0
102.0,542,610,65,42,0
102.0,546,610,65,42,0
103.0,558,612,67,0,0
103.0,564,613,67,0,0
104.0,533,608,66,0,0
104.0,535,609,66,0,0
104.0,542,610,66,0,0
105.0,558,609,68,0,0
105.0,564,610,68,0,0
106.0,552,608,66,0,0
106.0,558,609,66,0,0
107.0,546,607,65,0,0
107.0,552,608,65,0,0
108.0,546,607,65,0,0
108.0,543,607,65,0,0
109.0,543,607,66,0,0
109.0,534,606,66,0,0
110.0,545,614,63,0,0
110.0,551,615,63,0,0
111.0,551,615,65,0,0
111.0,557,616,65,0,0
112.0,557,616,66,0,0
112.0,563,616,66,0,0
113.0,544,621,66,0,0
113.0,545,614,66,0,0
114.0,546,610,66,0,0
114.0,546,607,66,0,0
115.0,545,614,65,43,0
115.0,546,610,65,43,0
116.0,386,595,58,0,0
116.0,387,595,58,0,0
116.0,394,598,58,0,0
117.0,384,598,59,0,0
117.0,393,602,59,0,0
118.0,382,601,58,0,0
118.0,393,606,58,0,0
119.0,381,605,58,0,0
119.0,390,609,58,0,0
120.0,543,607,65,43,0
120.0,544,597,65,43,0
121.0,543,607,65,0,0
121.0,542,610,65,0,0
122.0,542,613,65,0,0
122.0,542,610,65,0,0
123.0,541,621,67,0,0
123.0,542,613,67,0,0
124.0,512,619,66,0,0
124.0,514,613,66,0,0
124.0,510,611,66,0,0
124.0,509,610,66,0,0
125.0,768,806,73,0,0
125.0,767,820,73,0,0
126.0,770,820,77,0,0
126.0,775,819,77,0,0
127.0,770,820,77,0,0
127.0,767,820,77,0,0
128.0,754,772,73,0,0
128.0,754,759,73,0,0
129.0,752,697,73,0,0
129.0,752,684,73,0,0
130.0,939,733,72,0,0
130.0,939,720,72,0,0
131.0,771,703,67,0,0
131.0,752,703,67,0,0
132.0,684,672,73,0,0
132.0,684,660,73,0,0
133.0,673,812,70,0,0
133.0,685,812,70,0,0
134.0,837,716,74,0,0
134.0,824,710,74,0,0
135.0,711,786,74,0,0
135.0,710,772,74,0,0
136.0,755,785,73,0,0
136.0,754,772,73,0,0
137.0,691,760,73,0,0
137.0,698,760,73,0,0
138.0,561,571,65,48,0
138.0,570,575,65,48,0
139.0,622,821,63,0,0
139.0,609,816,63,0,0
140.0,626,673,72,0,0
140.0,633,673,72,0,0
141.0,621,673,73,0,0
141.0,626,673,73,0,0
142.0,723,722,69,0,0
142.0,723,710,69,0,0
143.0,608,711,70,0,0
143.0,621,710,70,0,0
144.0,685,760,73,0,0
144.0,691,760,73,0,0
145.0,736,759,73,0,0
145.0,754,759,73,0,0
146.0,1078,707,65,0,0
146.0,1091,707,65,0,0
147.0,1257,415,61,0,0
147.0,1254,409,61,0,0
148.0,1065,707,65,0,0
148.0,1078,707,65,0,0
149.0,801,349,58,0,0
149.0,801,349,58,0,0
149.0,801,350,58,0,0
149.0,802,351,58,0,0
149.0,803,351,58,0,0
149.0,804,353,58,0,0
149.0,805,354,58,0,0
149.0,805,354,58,0,0
150.0,1083,693,62,0,0
150.0,1090,689,62,0,0
150.0,1091,689,62,0,0
151.0,1091,689,62,0,0
151.0,1091,689,62,0,0
151.0,1100,684,62,0,0
151.0,1103,682,62,0,0
152.0,1091,707,70,0,0
152.0,1091,694,70,0,0
153.0,1091,694,70,0,0
153.0,1091,689,70,0,0
154.0,1091,718,70,0,0
154.0,1091,707,70,0,0
155.0,915,708,70,0,0
155.0,927,695,70,0,0
156.0,1103,682,64,0,0
156.0,1105,682,64,0,0
156.0,1116,682,64,0,0
157.0,1116,682,64,0,0
157.0,1117,682,64,0,0
158.0,1103,682,71,0,0
158.0,1103,661,71,0,0
158.0,1102,659,71,0,0
159.0,1103,694,71,0,0
159.0,1103,682,71,0,0
