Hour,AvgTraffic,Factor
0,214.5,-4.365338893
1,129.5,-5.965188848
2,82,-7.413917035
3,74.5,-7.718017367
4,36.33333333,-9.994529882
5,76,-7.654818934
6,87.5,-7.208099371
7,94,-6.980924826
8,102.5,-6.70647394
9,952.5,0.360956228
10,871.75,0.080103121
11,857.5,0.027850982
12,846.5,-0.013081332
13,811.5,-0.146951931
14,775,-0.292855729
15,775.6666667,-0.290129719
16,830.5,-0.073578809
17,888,0.138656492
18,928,0.278342069
19,867.5,0.064609072
20,796.5,-0.206101963
21,705,-0.592977604
22,419.6666667,-2.237555487
23,280,-3.520504529
