shapeid,x,y,Traffic,Train,Industrial
0.0,14037.164908,-1915.04984635,72,0,0
0.0,14068.0531304,-1940.44562843,72,0,0
0.0,14080.6809495,-1950.55240954,72,0,0
0.0,14114.730182,-1978.63762291,72,0,0
1.0,14120.6740225,-1808.14988523,65,0,0
1.0,14098.9553595,-1837.53615312,65,0,0
1.0,14037.164908,-1915.04984635,65,0,0
2.0,13997.2509106,-1808.01411566,65,0,0
2.0,14089.8439005,-1810.9311879,65,0,0
2.0,14120.6740225,-1808.14988523,65,0,0
3.0,13863.4743281,-1967.86692534,60,0,0
3.0,13946.3292985,-2032.62057774,60,0,0
4.0,13805.1717577,-2212.95950195,70,0,0
4.0,13880.8326239,-2270.92489724,70,0,0
5.0,13654.9074342,-2029.23916228,77,0,0
5.0,13662.9128215,-2079.67140515,77,0,0
6.0,13662.9128215,-2079.67140515,77,0,0
6.0,13670.0743005,-2113.80761204,77,0,0
7.0,13643.7275639,-1957.36858753,77,0,0
7.0,13654.9074342,-2029.23916228,77,0,0
8.0,13670.0743005,-2113.80761204,77,0,0
8.0,13674.6897142,-2146.03665454,77,0,0
9.0,13674.6897142,-2146.03665454,77,0,0
9.0,13682.9742364,-2192.85305743,77,0,0
10.0,14228.3989948,-2084.25985346,72,0,0
10.0,14244.1804916,-2099.74340256,72,0,0
10.0,14333.4052553,-2189.06393293,72,0,0
11.0,14167.1092053,-2021.32003287,72,0,0
11.0,14186.960066,-2040.08977026,72,0,0
11.0,14218.3463139,-2072.19930696,72,0,0
11.0,14228.3989948,-2084.25985346,72,0,0
12.0,14114.730182,-1978.63762291,72,0,0
12.0,14141.3561934,-2000.08592446,72,0,0
12.0,14167.1092053,-2021.32003287,72,0,0
13.0,14333.4052553,-2189.06393293,72,0,0
13.0,14405.6254511,-2251.80305881,72,0,0
14.0,14120.8219954,-2400.86014876,61,0,0
14.0,14139.7894046,-2401.6499054,61,0,0
14.0,14236.8484438,-2294.39973957,61,0,0
15.0,14236.8484438,-2294.39973957,61,0,0
15.0,14333.4052553,-2189.06393293,61,0,0
